person age,person income,person emp length,loan amnt,loan int rate,loan percent income,cb person cred hist length,person home ownership MORTGAGE,person home ownership OTHER,person home ownership OWN,person home ownership RENT,loan intent DEBTCONSOLIDATION,loan intent EDUCATION,loan intent HOMEIMPROVEMENT,loan intent MEDICAL,loan intent PERSONAL,loan intent VENTURE,cb person default on file N,cb person default on file Y
0.29879212,0.34699142,0.087844186,0.00031376362,0.84699607,3.9246378,0.32263365,0.3202727,0.00083703967,0.14994276,0.8103798,0.034908857,0.018565478,0.10890306,0.020428788,0.014070931,0.06698949,0.02409882,0.0015571748
0.007773896,0.03809184,0.39673203,0.008559831,0.3002458,0.3980094,0.20841077,0.014846778,7.508071e-05,3.0647268,0.31282732,0.08649486,0.038907114,0.15478328,0.060038917,0.0073990105,0.8778405,0.121350445,0.033620477
0.25195503,1.0842541,0.33726072,0.22354881,0.9823941,0.29389948,0.2558085,0.013993223,0.00039328585,2.5564666,0.2731913,0.09877335,0.14372395,0.16591738,0.07883028,0.015521133,0.12283207,0.046529092,0.01738197
0.2121729,0.50554526,0.2216368,0.2733456,0.43889728,1.0487615,0.13155754,0.08659063,4.3543125e-05,0.07952717,0.10648563,0.17338473,0.01072941,0.07647605,0.06785215,0.04252818,0.05323782,0.21054886,0.026501842
0.10888974,0.2646593,0.18626794,0.12031,0.5153587,0.54316616,0.4208051,0.014473972,0.0011615334,0.09858538,0.13099995,0.046785295,0.071520455,0.17491671,0.0108756125,0.010637481,0.08433437,0.0613093,0.0020283335
0.21300533,0.95716757,0.37191352,0.005778345,0.17136677,0.269215,0.25104702,0.053868808,8.519653e-05,0.09336071,0.34834996,0.18143281,0.24512956,0.047160342,0.17363086,0.027757524,0.0438585,0.20213017,0.03340239
0.1547935,0.17748065,0.260105,0.01258483,0.33073935,0.46392635,0.31958377,0.042442072,0.0007480382,0.08443943,0.23687239,0.060071763,0.18917012,0.19435595,0.06346637,0.0051907813,0.12643021,0.074589536,0.0025051145
0.26469424,0.47896585,0.23951921,0.07450638,1.137908,0.21127206,0.3272883,0.052514765,0.0004987502,0.12137247,0.4390716,0.10571991,0.010501077,0.81180406,0.103141405,0.01688364,0.027922187,0.19053164,0.0008499352
0.23818432,1.0697608,0.1890719,0.062082212,0.47251073,0.5278044,0.19919612,0.0028960176,0.00013273174,0.09799064,0.21759157,0.10311691,0.04292935,0.06047166,0.50362295,0.043141376,0.0701508,0.08472353,0.0015942401
0.16265936,0.4455244,0.17764068,0.17534225,0.94644225,0.63269323,0.14887536,0.0073079024,0.0009894944,0.07731798,0.20380129,0.06379307,0.0011361432,0.08156622,0.03962894,0.013719819,1.0164636,0.1374326,0.011536477
0.34238163,0.32044548,0.5416992,0.11287086,0.7640278,3.1757028,0.18702807,0.35499647,0.0004825607,0.11490646,0.7963304,0.17978133,0.24682565,0.06497979,0.120445654,0.0074056475,0.04092071,0.08189201,0.0066380277
0.06659831,0.5338686,0.08829111,0.08943812,0.218685,3.6974971,0.30000672,0.30564746,0.0010647,0.15558991,0.71836597,0.15967292,0.028991463,0.14856857,0.024263628,0.00517653,0.043919295,0.023048101,0.00070541253
0.4357743,0.16609477,0.0042752177,0.014884774,0.31624323,0.5146121,0.0396268,0.0121729905,0.0004509961,0.09728451,0.16180138,0.067596704,0.00035033503,0.6609009,0.060477294,0.015323795,0.047168557,0.2569719,0.025376095
0.21440086,0.2891139,0.109208025,0.14708011,0.39596373,0.6024242,0.38772696,0.016925618,0.00048324,0.09263618,0.15645356,0.056533482,0.018505095,0.09622489,0.024466945,0.0168776,0.13745278,0.05715431,0.0071241986
0.18345061,0.6676171,0.35067496,0.094684534,0.063664086,0.4568254,0.38701478,0.03397164,0.0004173856,0.08318954,0.29658088,0.10658174,0.01147707,0.06840414,0.078980505,0.014303423,0.911595,0.17944631,0.019866953
0.062102444,1.3782042,0.20462082,0.066600114,0.5852215,0.5066408,0.32530448,0.006629486,0.00083703967,0.09376504,0.19970259,0.17921983,0.04008538,0.2531205,0.011514521,0.014643701,0.121022575,0.050411534,0.00096241315
